epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6869,1.56456,7.11795,0.68747,2.98497,1.88529,0.15397,0.04672,0.04908,0.01423,0.00346,0.22992,0.00247,0.00087,2.68358,8.24295,0.55717,4.24846,3.26897,0.06832,0.00032,0.00032
2,19.3897,1.11714,6.30666,0.68138,1.58118,1.47586,0.49892,0.51992,0.54062,0.31396,0.03668,0.08128,0.01959,0.00365,1.3336,7.42289,0.46321,2.06309,1.7055,0.0356499,0.000649929,0.000649929
3,27.9955,1.09348,5.59127,0.68562,1.3813,1.43635,0.74751,0.64019,0.66132,0.4337,0.03466,0.14753,0.02203,0.00574,1.06903,7.29775,0.42719,3.6504,1.57461,0.00297957,0.000979574,0.000979574
4,36.682,1.07883,5.09552,0.66104,1.3656,1.41804,0.68661,0.8006,0.77129,0.54024,0.20569,0.22881,0.09907,0.01948,1.06246,6.70966,0.44652,1.51758,1.53258,0.000999023,0.000999023,0.000999023
5,45.1054,1.03361,4.60118,0.65756,1.24429,1.38888,0.85267,0.75269,0.84149,0.5868,0.28312,0.22533,0.14234,0.04498,1.03427,6.51685,0.461,1.34691,1.50443,0.000998264,0.000998264,0.000998264
6,53.7315,1.03689,4.27815,0.66348,1.22938,1.38189,0.70392,0.76826,0.81481,0.54454,0.1813,0.33144,0.10718,0.02391,1.12988,6.54431,0.49929,1.23382,1.58739,0.000997288,0.000997288,0.000997288
7,62.2021,0.99519,4.23319,0.65173,1.21609,1.35378,0.79327,0.76945,0.80693,0.55362,0.27152,0.26281,0.1262,0.03932,1.03133,6.36761,0.48957,1.20235,1.42427,0.000996097,0.000996097,0.000996097
8,70.687,1.03181,4.16083,0.6312,1.23336,1.37118,0.72786,0.71478,0.78616,0.53996,0.3679,0.37524,0.23923,0.0671,1.13272,5.9496,0.46896,1.22865,1.59173,0.00099469,0.00099469,0.00099469
9,79.2246,0.98051,4.14004,0.63871,1.15228,1.32806,0.82342,0.72739,0.82149,0.63344,0.33592,0.31531,0.19374,0.06695,0.85091,5.99255,0.45992,1.08269,1.32892,0.000993068,0.000993068,0.000993068
10,91.8449,0.98139,3.91124,0.63841,1.16399,1.32717,0.72548,0.76394,0.79781,0.54735,0.23984,0.35389,0.14955,0.04864,0.99126,6.08599,0.44117,1.12515,1.45138,0.000991232,0.000991232,0.000991232
11,100.227,0.92014,3.91993,0.6282,1.08097,1.29707,0.82999,0.83571,0.88157,0.70159,0.41413,0.40639,0.25158,0.06966,0.73183,5.86678,0.46292,0.93237,1.20649,0.000989183,0.000989183,0.000989183
12,108.98,0.91856,3.89961,0.63063,1.03148,1.2795,0.82984,0.7908,0.87581,0.64899,0.50076,0.426,0.33147,0.08258,0.85705,5.73698,0.46028,0.92395,1.27464,0.000986922,0.000986922,0.000986922
13,117.297,0.91557,3.71175,0.63026,1.05804,1.28989,0.85936,0.79854,0.8935,0.70508,0.50378,0.44039,0.31194,0.08945,0.76152,5.69206,0.44033,0.87193,1.19605,0.000984449,0.000984449,0.000984449
14,125.944,0.89023,3.65799,0.60864,1.027,1.2816,0.80234,0.77515,0.86351,0.64716,0.44727,0.42141,0.31012,0.08576,0.87771,5.49164,0.39371,1.10932,1.26626,0.000981765,0.000981765,0.000981765
15,134.429,0.92331,3.67263,0.61332,1.06709,1.29332,0.84399,0.75158,0.81934,0.67466,0.44445,0.42426,0.28969,0.08977,0.80423,5.72623,0.40415,1.13348,1.23467,0.000978873,0.000978873,0.000978873
16,142.809,0.9048,3.50183,0.59978,1.05897,1.27757,0.89376,0.86296,0.91521,0.7283,0.52792,0.5223,0.44491,0.12501,0.78726,5.38733,0.39451,0.81175,1.24512,0.000975773,0.000975773,0.000975773
17,151.311,0.89954,3.49954,0.58932,1.00752,1.27926,0.85869,0.87084,0.92824,0.75787,0.44428,0.34202,0.24529,0.07155,0.74384,5.86438,0.37761,0.72894,1.17899,0.000972466,0.000972466,0.000972466
18,159.769,0.89765,3.45119,0.57702,0.99485,1.28851,0.8237,0.83927,0.90338,0.7308,0.3765,0.40354,0.27514,0.08498,0.78611,5.77882,0.40715,0.82894,1.19539,0.000968955,0.000968955,0.000968955
19,168.283,0.87133,3.67954,0.56986,0.96724,1.25466,0.926,0.855,0.94717,0.78253,0.48202,0.49466,0.3598,0.09124,0.67779,5.62525,0.31877,0.64356,1.16373,0.000965239,0.000965239,0.000965239
20,176.759,0.86372,3.50418,0.53932,0.95658,1.2594,0.86992,0.87581,0.93373,0.76978,0.5106,0.44497,0.33117,0.09505,0.70775,5.46115,0.32128,0.72533,1.17514,0.000961322,0.000961322,0.000961322
21,185.104,0.85224,3.46989,0.53318,0.95597,1.24041,0.82843,0.85136,0.91808,0.77786,0.57132,0.42191,0.39379,0.113,0.65171,5.26421,0.29071,0.82084,1.10763,0.000957205,0.000957205,0.000957205
22,193.651,0.83443,3.48774,0.52734,0.94981,1.22774,0.94276,0.8784,0.94892,0.79211,0.49906,0.46173,0.32743,0.09933,0.67357,5.36,0.3307,0.62044,1.13483,0.000952889,0.000952889,0.000952889
23,202.105,0.84794,3.46653,0.52237,0.93506,1.23812,0.83699,0.8697,0.93303,0.75955,0.49157,0.52545,0.40357,0.10729,0.7259,5.03907,0.26243,0.69667,1.17119,0.000948377,0.000948377,0.000948377
24,210.489,0.82332,3.37349,0.51227,0.88888,1.21989,0.90989,0.87318,0.95792,0.80892,0.54702,0.45019,0.40502,0.09885,0.59141,5.29988,0.25599,0.61775,1.0663,0.000943671,0.000943671,0.000943671
25,219.059,0.80626,3.39645,0.51204,0.8563,1.21512,0.86395,0.90085,0.94739,0.77433,0.58081,0.49747,0.42332,0.113,0.67089,5.21375,0.29459,0.62896,1.11352,0.000938772,0.000938772,0.000938772
26,227.493,0.82503,3.38586,0.50889,0.92272,1.21931,0.79254,0.89495,0.92919,0.76862,0.53949,0.52688,0.42783,0.12801,0.66286,5.18378,0.2787,0.75502,1.09978,0.000933683,0.000933683,0.000933683
27,235.898,0.81234,3.33818,0.49266,0.87771,1.21094,0.89619,0.95001,0.96894,0.81943,0.55791,0.55306,0.43707,0.12039,0.59323,5.28801,0.26357,0.57705,1.05659,0.000928405,0.000928405,0.000928405
