epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8635,1.49473,6.6583,0.68583,2.502,1.82301,0.51261,0.56914,0.51144,0.3211,0.04145,0.0778,0.019,0.00442,1.38716,7.68278,0.58949,2.45942,1.88546,0.06775,0.000325758,0.000325758
2,27.3419,1.09834,5.09021,0.67006,1.47133,1.44838,0.62902,0.48855,0.48541,0.28989,0.10868,0.12619,0.03384,0.00785,1.30602,7.23475,0.5158,3.22882,1.83951,0.03475,0.000659051,0.000659051
3,40.1208,1.16894,4.57494,0.64018,1.5121,1.51575,0.5761,0.50553,0.52703,0.27843,0.05628,0.09915,0.01774,0.0047,1.70192,7.89452,0.4242,3.08009,2.19542,0.00174976,0.000992182,0.000992182
4,52.3859,1.13867,4.34981,0.61809,1.44634,1.48205,0.63911,0.67663,0.70033,0.44156,0.06785,0.11006,0.0272,0.00743,1.21855,7.46495,0.3851,1.91793,1.86156,0.00099945,0.00099945,0.00099945
5,64.9876,1.11299,4.19795,0.61608,1.338,1.43555,0.64426,0.70367,0.71639,0.51402,0.23327,0.26107,0.15337,0.04671,1.17168,6.13045,0.45312,1.78474,1.65626,0.000999023,0.000999023,0.000999023
6,77.456,1.11029,3.95195,0.62399,1.31698,1.42097,0.72855,0.6649,0.73527,0.5158,0.24321,0.1912,0.10736,0.02667,1.02925,6.75761,0.36784,1.29145,1.50632,0.000998474,0.000998474,0.000998474
7,90.0455,1.04591,3.99347,0.59597,1.24481,1.39262,0.71034,0.7851,0.78407,0.59101,0.28822,0.28305,0.15167,0.03668,0.87618,6.30433,0.33195,1.17145,1.31328,0.000997803,0.000997803,0.000997803
8,102.735,1.02775,3.95641,0.57312,1.2234,1.3762,0.74088,0.76249,0.82415,0.6229,0.21435,0.25822,0.13638,0.03733,0.89463,6.46281,0.32208,1.06861,1.3586,0.000997011,0.000997011,0.000997011
9,115.462,1.01834,3.9124,0.56119,1.20919,1.36493,0.756,0.7141,0.76539,0.55956,0.41538,0.38852,0.25847,0.07605,0.91298,5.67585,0.36094,1.08776,1.37191,0.000996097,0.000996097,0.000996097
10,127.772,0.97737,3.83935,0.55817,1.14324,1.3292,0.73303,0.83575,0.86848,0.66219,0.35935,0.41106,0.22249,0.06924,0.83197,5.79589,0.3033,0.92445,1.27173,0.000995062,0.000995062,0.000995062
